Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscigeo,mm,All other sections,placen,18.0623,4.7133,5.5088,13.349,2.4232,large
corhscigeo,mm,All other sections,adj_attr,72.6057,60.4434,13.5267,12.1623,0.8991,large
corhscigeo,mm,All other sections,alladj,94.0547,82.3202,15.2212,11.7345,0.7709,medium
corhscigeo,mm,All other sections,pl_adv,4.2962,2.7773,2.6118,1.5189,0.5815,medium
corhscigeo,mm,All other sections,quann,11.3887,8.813,6.6599,2.5757,0.3867,small
corhscigeo,mm,All other sections,sizej,1.9472,1.3297,1.6871,0.6175,0.366,small
corhscigeo,mm,All other sections,n,357.0906,349.3096,34.2048,7.781,0.2275,small
corhscigeo,mm,All other sections,nonfadvl,1.0755,0.8316,1.0745,0.2439,0.227,small
corhscigeo,mm,All other sections,pres,45.1887,41.046,19.6416,4.1427,0.2109,small
corhscigeo,mm,All other sections,conjncts,4.8151,4.2194,2.9478,0.5957,0.2021,small
corhscigeo,mm,All other sections,it,3.0509,2.5555,2.4546,0.4955,0.2019,small
corhscigeo,mm,All other sections,evalj,0.6811,0.5042,0.9032,0.177,0.1959,negligible
corhscigeo,mm,All other sections,relatnj,5.9321,5.3603,3.0785,0.5718,0.1857,negligible
corhscigeo,mm,All other sections,tccncrt,11.5,10.229,6.8601,1.271,0.1853,negligible
corhscigeo,mm,All other sections,advs,23.7642,22.3003,8.0489,1.4638,0.1819,negligible
corhscigeo,mm,All other sections,spl_aux,2.6623,2.3732,1.777,0.2891,0.1627,negligible
corhscigeo,mm,All other sections,occurv,1.8264,1.5761,1.6114,0.2503,0.1553,negligible
corhscigeo,mm,All other sections,lkly_vth,1.0132,0.8353,1.1972,0.1779,0.1486,negligible
corhscigeo,mm,All other sections,x1_jto,0.4358,0.3042,0.9543,0.1317,0.138,negligible
corhscigeo,mm,All other sections,sub_cos,0.9396,0.788,1.102,0.1516,0.1375,negligible
corhscigeo,mm,All other sections,pos_mod,3.1208,2.7812,2.7319,0.3396,0.1243,negligible
corhscigeo,mm,All other sections,wcount,1513.5849,1399.9786,917.7927,113.6063,0.1238,negligible
corhscigeo,mm,All other sections,have,1.4358,1.2808,1.4456,0.155,0.1072,negligible
corhscigeo,mm,All other sections,mntl_vto,0.4321,0.3599,0.6807,0.0722,0.1061,negligible
corhscigeo,mm,All other sections,p_and,2.6981,2.4833,2.1573,0.2148,0.0996,negligible
corhscigeo,mm,All other sections,colorj,0.1679,0.1165,0.5748,0.0515,0.0895,negligible
corhscigeo,mm,All other sections,prtcle,0.066,0.0443,0.2432,0.0217,0.0894,negligible
corhscigeo,mm,All other sections,downtone,2.2189,2.0674,1.8064,0.1514,0.0838,negligible
corhscigeo,mm,All other sections,nec_mod,0.5566,0.4866,0.8843,0.07,0.0792,negligible
corhscigeo,mm,All other sections,allmodal,4.5415,4.2873,3.601,0.2542,0.0706,negligible
corhscigeo,mm,All other sections,att_vth,0.4811,0.4324,0.7821,0.0488,0.0624,negligible
corhscigeo,mm,All other sections,commpv,0.0189,0.0136,0.1016,0.0052,0.0514,negligible
corhscigeo,mm,All other sections,prep,129.9755,129.216,14.9277,0.7595,0.0509,negligible
corhscigeo,mm,All other sections,topicj,3.8566,3.6357,4.5699,0.2209,0.0483,negligible
corhscigeo,mm,All other sections,fact_jth,0.0604,0.0515,0.1959,0.0089,0.0452,negligible
corhscigeo,mm,All other sections,all_advl,1.4245,1.3609,1.4315,0.0636,0.0445,negligible
corhscigeo,mm,All other sections,all_jth,0.4811,0.4364,1.0292,0.0447,0.0434,negligible
corhscigeo,mm,All other sections,vprogrsv,5.4547,5.3291,3.0521,0.1256,0.0412,negligible
corhscigeo,mm,All other sections,att_jth,0.1094,0.0992,0.2929,0.0102,0.0349,negligible
corhscigeo,mm,All other sections,be_state,0.6415,0.6122,0.9301,0.0293,0.0315,negligible
corhscigeo,mm,All other sections,lkly_jth,0.3094,0.2867,0.9428,0.0227,0.0241,negligible
corhscigeo,mm,All other sections,timej,0.5,0.4855,1.1649,0.0145,0.0125,negligible
corhscigeo,mm,All other sections,atadvl,0.0226,0.0232,0.1312,-0.0006,-0.0044,negligible
corhscigeo,mm,All other sections,fct_nth,0.0962,0.0992,0.321,-0.003,-0.0093,negligible
corhscigeo,mm,All other sections,pro1,10.7113,10.8798,9.0722,-0.1685,-0.0186,negligible
corhscigeo,mm,All other sections,all_jto,0.8774,0.9141,1.259,-0.0367,-0.0292,negligible
corhscigeo,mm,All other sections,x3_jto,0.0151,0.0205,0.143,-0.0054,-0.0379,negligible
corhscigeo,mm,All other sections,pdem,1.5019,1.5665,1.5933,-0.0646,-0.0406,negligible
corhscigeo,mm,All other sections,gen_hdg,0.0887,0.1043,0.3473,-0.0156,-0.0449,negligible
corhscigeo,mm,All other sections,occurpv,0.0,0.0009,0.019,-0.0009,-0.0474,negligible
corhscigeo,mm,All other sections,act_ipv,0.0,0.0123,0.1818,-0.0123,-0.0676,negligible
corhscigeo,mm,All other sections,vcmp,1.8358,1.9788,2.0473,-0.143,-0.0698,negligible
corhscigeo,mm,All other sections,amplifr,1.0094,1.1375,1.7425,-0.1281,-0.0735,negligible
corhscigeo,mm,All other sections,that_del,0.4604,0.5236,0.8571,-0.0632,-0.0737,negligible
corhscigeo,mm,All other sections,x4_jto,0.1453,0.1812,0.4807,-0.0359,-0.0747,negligible
corhscigeo,mm,All other sections,o_and,7.8321,8.1732,4.5365,-0.3411,-0.0752,negligible
corhscigeo,mm,All other sections,pred_adj,3.2906,3.4897,2.4996,-0.1992,-0.0797,negligible
corhscigeo,mm,All other sections,aspectpv,0.0,0.0042,0.0501,-0.0042,-0.0833,negligible
corhscigeo,mm,All other sections,gen_emph,0.8623,0.9602,1.168,-0.0979,-0.0839,negligible
corhscigeo,mm,All other sections,mentalpv,0.0,0.0095,0.1125,-0.0095,-0.0841,negligible
corhscigeo,mm,All other sections,jcmp,0.0679,0.0923,0.2844,-0.0244,-0.0858,negligible
corhscigeo,mm,All other sections,ttr,31.2189,31.454,2.6961,-0.2351,-0.0872,negligible
corhscigeo,mm,All other sections,allconj,15.4264,15.9797,5.8132,-0.5533,-0.0952,negligible
corhscigeo,mm,All other sections,all_vth,3.2151,3.4723,2.6336,-0.2572,-0.0977,negligible
corhscigeo,mm,All other sections,concrtn,9.1528,9.8734,7.1295,-0.7206,-0.1011,negligible
corhscigeo,mm,All other sections,sub_othr,3.0981,3.3377,2.2283,-0.2395,-0.1075,negligible
corhscigeo,mm,All other sections,x5_jto,0.0849,0.1213,0.3298,-0.0364,-0.1104,negligible
corhscigeo,mm,All other sections,by_pasv,2.5396,2.7835,2.0799,-0.2439,-0.1173,negligible
corhscigeo,mm,All other sections,all_th,3.8491,4.22,3.1427,-0.3709,-0.118,negligible
corhscigeo,mm,All other sections,rel_obj,0.3509,0.434,0.6837,-0.0831,-0.1216,negligible
corhscigeo,mm,All other sections,that_rel,2.5736,2.8722,2.4278,-0.2986,-0.123,negligible
corhscigeo,mm,All other sections,prd_mod,0.8509,1.0214,1.3706,-0.1705,-0.1244,negligible
corhscigeo,mm,All other sections,fact_vth,0.6981,0.8428,1.1159,-0.1447,-0.1297,negligible
corhscigeo,mm,All other sections,copulapv,0.0,0.012,0.0921,-0.012,-0.1298,negligible
corhscigeo,mm,All other sections,actv,19.234,20.0396,6.0871,-0.8056,-0.1323,negligible
corhscigeo,mm,All other sections,fctadvl,0.2698,0.3773,0.8008,-0.1075,-0.1343,negligible
corhscigeo,mm,All other sections,finlprep,0.6377,0.8453,1.5354,-0.2076,-0.1352,negligible
corhscigeo,mm,All other sections,groupn,2.2453,2.8158,4.1636,-0.5705,-0.137,negligible
corhscigeo,mm,All other sections,act_tpv,0.3,0.4278,0.9218,-0.1278,-0.1387,negligible
corhscigeo,mm,All other sections,causev,1.9189,2.2008,1.9923,-0.2819,-0.1415,negligible
corhscigeo,mm,All other sections,nfct_nth,0.0,0.0285,0.1904,-0.0285,-0.1498,negligible
corhscigeo,mm,All other sections,existv,8.4264,9.0377,4.0056,-0.6112,-0.1526,negligible
corhscigeo,mm,All other sections,wh_ques,0.0453,0.1475,0.6277,-0.1022,-0.1628,negligible
corhscigeo,mm,All other sections,x2_jto,0.1943,0.2891,0.565,-0.0947,-0.1676,negligible
corhscigeo,mm,All other sections,tm_adv,2.0094,2.3489,1.9961,-0.3395,-0.1701,negligible
corhscigeo,mm,All other sections,sua_vb,1.2208,1.4979,1.6081,-0.2771,-0.1723,negligible
corhscigeo,mm,All other sections,wh_cl,0.0849,0.1692,0.4818,-0.0843,-0.175,negligible
corhscigeo,mm,All other sections,att_nth,0.0,0.0258,0.1455,-0.0258,-0.1774,negligible
corhscigeo,mm,All other sections,dsre_vto,0.4302,0.5697,0.7844,-0.1395,-0.1778,negligible
corhscigeo,mm,All other sections,prob_vto,0.0698,0.137,0.3661,-0.0672,-0.1835,negligible
corhscigeo,mm,All other sections,pro_do,0.0604,0.1675,0.5582,-0.1072,-0.192,negligible
corhscigeo,mm,All other sections,sub_cnd,0.8585,1.1976,1.6901,-0.3391,-0.2007,small
corhscigeo,mm,All other sections,lklydvl,0.0547,0.13,0.3738,-0.0753,-0.2014,small
corhscigeo,mm,All other sections,lkly_nth,0.0585,0.1577,0.4578,-0.0992,-0.2168,small
corhscigeo,mm,All other sections,nonf_vth,1.017,1.3613,1.5264,-0.3443,-0.2256,small
corhscigeo,mm,All other sections,pro2,0.1509,0.5567,1.7867,-0.4058,-0.2271,small
corhscigeo,mm,All other sections,allwh,0.1283,0.3165,0.784,-0.1882,-0.24,small
corhscigeo,mm,All other sections,rel_pipe,0.6358,0.9322,1.2324,-0.2964,-0.2405,small
corhscigeo,mm,All other sections,efrt_vto,0.8774,1.1754,1.2372,-0.2981,-0.2409,small
corhscigeo,mm,All other sections,whiz_vbn,4.0358,4.6914,2.683,-0.6556,-0.2443,small
corhscigeo,mm,All other sections,all_nth,0.1547,0.3105,0.6261,-0.1558,-0.2488,small
corhscigeo,mm,All other sections,contrac,0.1604,0.3989,0.9337,-0.2385,-0.2554,small
corhscigeo,mm,All other sections,abstrcn,25.9491,29.1334,12.2432,-3.1843,-0.2601,small
corhscigeo,mm,All other sections,prcessn,16.4679,18.8995,8.7944,-2.4316,-0.2765,small
corhscigeo,mm,All other sections,rel_subj,2.0321,2.6205,2.1205,-0.5884,-0.2775,small
corhscigeo,mm,All other sections,agls_psv,16.8792,19.2224,8.1812,-2.3432,-0.2864,small
corhscigeo,mm,All other sections,cognitn,4.9981,6.3729,4.4072,-1.3748,-0.312,small
corhscigeo,mm,All other sections,pany,0.4547,0.7843,1.0296,-0.3296,-0.3201,small
corhscigeo,mm,All other sections,allpro,13.5321,16.8001,10.2082,-3.268,-0.3201,small
corhscigeo,mm,All other sections,aspectv,0.6415,1.1104,1.4091,-0.4689,-0.3327,small
corhscigeo,mm,All other sections,all_nto,0.1698,0.4461,0.8204,-0.2763,-0.3368,small
corhscigeo,mm,All other sections,wrlengh,5.1736,5.2663,0.2679,-0.0927,-0.346,small
corhscigeo,mm,All other sections,allpasv,23.4642,26.6964,9.0973,-3.2322,-0.3553,small
corhscigeo,mm,All other sections,allwhrel,3.0283,3.9879,2.6425,-0.9596,-0.3632,small
corhscigeo,mm,All other sections,inf,7.3094,8.7944,3.982,-1.4849,-0.3729,small
corhscigeo,mm,All other sections,all_vto,1.9113,2.6773,2.0519,-0.766,-0.3733,small
